id,hypothesis_category,text,expected_label,rationale
1,negation,"The app is not useful anymore after the last update.",negative,"This uses negation before a positive cue, useful, to test whether the model reads not useful as negative."
2,negation,"I do not recommend this app even though the design looks clean.",negative,"This tests whether the model catches do not recommend instead of focusing on the positive design cue."
3,negation,"The update did not improve performance at all.",negative,"This negates the positive word improve to test whether the model relies only on the cue word."
4,negation,"The app is not bad, but it is still missing basic features.",neutral,"This has a negated negative phrase with a mixed follow-up, so the intended label is not strongly positive or negative."
5,negation,"I cannot say this app is amazing because it crashes too often.",negative,"This tests whether the model ignores cannot and reacts to amazing."
6,lexical_trigger,"The interface looks beautiful, but the app deletes my saved work.",negative,"This contains the positive trigger beautiful, but the real experience is negative."
7,lexical_trigger,"Reliable was what this app used to be; now it freezes every day.",negative,"This flips the positive cue reliable by putting it in the past and contrasting it with current failure."
8,lexical_trigger,"Great idea, terrible execution.",negative,"This starts with a positive trigger but ends with a stronger negative judgment."
9,lexical_trigger,"I love the colors, but I cannot complete a single payment.",negative,"This tests whether the model overweights love and ignores the serious functional failure."
10,lexical_trigger,"The app is fast and polished, but I do not need it.",neutral,"This includes positive surface words, but the overall review is more neutral than positive."
11,domain_shift,"The company reported higher revenue after cutting operating costs.",neutral,"This is business news prose, not a user opinion, so sentiment should be neutral."
12,domain_shift,"The football team lost the final after a penalty shootout.",neutral,"This sports sentence contains negative event language but is factual reporting."
13,domain_shift,"Bake the cake for thirty minutes and let it cool before serving.",neutral,"This recipe instruction has no app-review sentiment."
14,domain_shift,"The senator criticized the new policy during a press conference.",neutral,"This news-style sentence uses criticized, but it reports an event rather than a user sentiment."
15,domain_shift,"The movie opened at number one during the holiday weekend.",neutral,"This entertainment news sentence sounds positive but is mainly factual."
16,length_extreme,"Works fine.",positive,"This very short review tests whether the model can classify minimal positive feedback."
17,length_extreme,"Still broken.",negative,"This very short review tests whether the model catches a minimal negative complaint."
18,length_extreme,"Okay, nothing special.",neutral,"This short sentence is mild and should be neutral."
19,length_extreme,"After using this app for three weeks, I like the clean layout, the quick search, and the simple setup, but I still find the notifications confusing, the settings menu hard to navigate, and the sync feature unreliable when switching between my laptop and phone.",neutral,"This long mixed review tests whether the model can balance positive and negative evidence."
20,length_extreme,"I downloaded the app because a friend recommended it, and at first the onboarding felt smooth, but after several days the login screen started looping, customer support sent generic replies, and the features I needed were locked behind a confusing upgrade page.",negative,"This long review contains mixed context but ends with several concrete negative failures."
21,sarcasm,"Fantastic, another update that makes the app crash faster.",negative,"This uses positive surface wording sarcastically to express a negative experience."
22,sarcasm,"Amazing job hiding the only button I use every day.",negative,"This sarcastically praises a design change that actually made the app worse."
23,sarcasm,"Love paying for premium and still seeing ads.",negative,"This uses love sarcastically with a complaint about ads."
24,sarcasm,"Perfect, the app logged me out right before my meeting.",negative,"This uses a positive word, perfect, to express frustration."
25,sarcasm,"Great, now the app needs permission for everything just to open.",negative,"This tests whether the model reads great literally instead of detecting sarcastic complaint."
26,other,"The app is useful for beginners, but advanced users may outgrow it quickly.",neutral,"This mixed-audience case tests whether the model can handle conditional sentiment rather than one clear opinion."
27,other,"I would rate it five stars if the export button worked.",negative,"This counterfactual sentence contains a positive rating cue but the actual condition is unmet."
28,other,"This is not a bad app for a free tool.",positive,"This tests a softened positive judgment using negated negative wording."
29,other,"The app does exactly what it promises and nothing more.",neutral,"This checks whether plain adequacy is treated as neutral rather than positive."
30,other,"I wanted to hate it, but it actually saved me a lot of time.",positive,"This starts negative but flips to positive, testing contrast handling."
